cell	child1	child2
ABaraapa	ABaraapaa	ABaraapap
ABaraapaa	ABaraapaaa	ABaraapaap
ABaraapaaa	ABaraapaaaa	ABaraapaaap
ABaraapaap	ABaraapaapa	ABaraapaapp
ABaraapap	ABaraapapa	ABaraapapp
ABaraapapa	ABaraapapaa	ABaraapapap
ABaraapapp	ABaraapappa	ABaraapappp
ABaraapp	ABaraappa	ABaraappp
ABaraappa	ABaraappaa	ABaraappap
ABaraappaa	ABaraappaaa	ABaraappaap
ABaraappap	ABaraappapa	ABaraappapp
ABaraappp	ABaraapppa	ABaraapppp
ABaraapppa	ABaraapppaa	ABaraapppap
ABaraapppp	ABaraappppa	ABaraappppp
ABarap	ABarapa	ABarapp
ABarapa	ABarapaa	ABarapap
ABarapaa	ABarapaaa	ABarapaap
ABarapaaa	ABarapaaaa	ABarapaaap
ABarapaaaa	ABarapaaaaa	ABarapaaaap
ABarapaaap	ABarapaaapa	ABarapaaapp
ABarapaap	ABarapaapa	ABarapaapp
ABarapaapa	ABarapaappa	ABarapaappp
ABarapaapp	ABarapaapaa	ABarapaapap
ABarapap	ABarapapa	ABarapapp
ABarapapa	ABarapapaa	ABarapapap
ABarapapaa	ABarapapaaa	ABarapapaap
ABarapapap	ABarapapapa	ABarapapapp
ABarapapp	ABarapappa	ABarapappp
ABarapappa	ABarapappaa	ABarapappap
ABarapappp	ABarapapppa	ABarapapppp
ABarapp	ABarappa	ABarappp
ABarappa	ABarappaa	ABarappap
ABarappaa	ABarappaaa	ABarappaap
ABarappaaa	ABarappaaaa	ABarappaaap
ABarappaap	ABarappaapa	ABarappaapp
ABarappap	ABarappapa	ABarappapp
ABarappapa	ABarappapaa	ABarappapap
ABarappapp	ABarappappa	ABarappappp
ABarappp	ABarapppa	ABarapppp
ABarapppa	ABarapppaa	ABarapppap
ABarapppaa	ABarapppaaa	ABarapppaap
ABarapppap	ABarapppapa	ABarapppapp
ABarapppp	ABarappppa	ABarappppp
ABarappppa	ABarappppaa	ABarappppap
ABarappppp	ABarapppppa	ABarapppppp
ABarp	ABarpa	ABarpp
ABarpa	ABarpaa	ABarpap
ABarpaa	ABarpaaa	ABarpaap
ABarpaaa	ABarpaaaa	ABarpaaap
ABarpaaaa	ABarpaaaaa	ABarpaaaap
ABarpaaaaa	ABarpaaaaaa	ABarpaaaaap
ABarpaaap	ABarpaaapa	ABarpaaapp
ABarpaaapa	ABarpaaapaa	ABarpaaapap
ABarpaap	ABarpaapa	ABarpaapp
ABarpaapa	ABarpaapaa	ABarpaapap
ABarpaapp	ABarpaappa	ABarpaappp
ABarpap	ABarpapa	ABarpapp
ABarpapa	ABarpapaa	ABarpapap
ABarpapaa	ABarpapaaa	ABarpapaap
ABarpapaaa	ABarpapaaaa	ABarpapaaap
ABarpapaap	ABarpapaapa	ABarpapaapp
ABarpapap	ABarpapapa	ABarpapapp
ABarpapp	ABarpappa	ABarpappp
ABarpappa	ABarpappaa	ABarpappap
ABarpappp	ABarpapppa	ABarpapppp
ABarpp	ABarppa	ABarppp
ABarppa	ABarppaa	ABarppap
ABarppaa	ABarppaaa	ABarppaap
ABarppaaa	ABarppaaaa	ABarppaaap
ABarppaap	ABarppaapa	ABarppaapp
ABarppap	ABarppapa	ABarppapp
ABarppapa	ABarppapaa	ABarppapap
ABarppapp	ABarppappa	ABarppappp
ABarppp	ABarpppa	ABarpppp
ABarpppa	ABarpppaa	ABarpppap
ABarpppaa	ABarpppaaa	ABarpppaap
ABarpppap	ABarpppapa	ABarpppapp
ABarpppp	ABarppppa	ABarppppp
ABarppppa	ABarppppaa	ABarppppap
ABarppppp	ABarpppppa	ABarpppppp
ABp	ABpl	ABpr
ABpl	ABpla	ABplp
ABpla	ABplaa	ABplap
ABplaa	ABplaaa	ABplaap
ABplaaa	ABplaaaa	ABplaaap
ABplaaaa	ABplaaaaa	ABplaaaap
ABplaaaaa	ABplaaaaaa	ABplaaaaap
ABplaaaaaa	ABplaaaaaaa	ABplaaaaaap
ABplaaaaap	ABplaaaaapa	ABplaaaaapp
ABplaaaap	ABplaaaapa	ABplaaaapp
ABplaaap	ABplaaapa	ABplaaapp
ABplaaapa	ABplaaapaa	ABplaaapap
ABplaaapp	ABplaaappa	ABplaaappp
ABplaap	ABplaapa	ABplaapp
ABplaapa	ABplaapaa	ABplaapap
ABplaapaa	ABplaapaaa	ABplaapaap
ABplaapaaa	ABplaapaaaa	ABplaapaaap
ABplaapaap	ABplaapaapa	ABplaapaapp
ABplaapap	ABplaapapa	ABplaapapp
ABplaapapa	ABplaapapaa	ABplaapapap
ABplaapapp	ABplaapappa	ABplaapappp
ABplaapp	ABplaappa	ABplaappp
ABplaappa	ABplaappaa	ABplaappap
ABplaappp	ABplaapppa	ABplaapppp
ABplap	ABplapa	ABplapp
ABplapa	ABplapaa	ABplapap
ABplapaa	ABplapaaa	ABplapaap
ABplapaaa	ABplapaaaa	ABplapaaap
ABplapaaaa	ABplapaaaaa	ABplapaaaap
ABplapaaap	ABplapaaapa	ABplapaaapp
ABplapaap	ABplapaapa	ABplapaapp
ABplapap	ABplapapa	ABplapapp
ABplapapa	ABplapapaa	ABplapapap
ABplapapp	ABplapappa	ABplapappp
ABplapappp	ABplapapppa	ABplapapppp
ABplapp	ABplappa	ABplappp
ABplappa	ABplappaa	ABplappap
ABplappaa	ABplappaaa	ABplappaap
ABplappap	ABplappapa	ABplappapp
ABplappp	ABplapppa	ABplapppp
ABplapppa	ABplapppaa	ABplapppap
ABplapppap	ABplapppapa	ABplapppapp
ABplapppp	ABplappppa	ABplappppp
ABplp	ABplpa	ABplpp
ABplpa	ABplpaa	ABplpap
ABplpaa	ABplpaaa	ABplpaap
ABplpaaa	ABplpaaaa	ABplpaaap
ABplpaaaa	ABplpaaaaa	ABplpaaaap
ABplpaaaaa	ABplpaaaaaa	ABplpaaaaap
ABplpaaaap	ABplpaaaapa	ABplpaaaapp
ABplpaaap	ABplpaaapa	ABplpaaapp
ABplpaaapa	ABplpaaapaa	ABplpaaapap
ABplpaaapp	ABplpaaappa	ABplpaaappp
ABplpaap	ABplpaapa	ABplpaapp
ABplpaapa	ABplpaapaa	ABplpaapap
ABplpaapaa	ABplpaapaaa	ABplpaapaap
ABplpaapap	ABplpaapapa	ABplpaapapp
ABplpaapp	ABplpaappa	ABplpaappp
ABplpaappa	ABplpaappaa	ABplpaappap
ABplpaappp	ABplpaapppa	ABplpaapppp
ABplpap	ABplpapa	ABplpapp
ABplpapa	ABplpapaa	ABplpapap
ABplpapaa	ABplpapaaa	ABplpapaap
ABplpapaaa	ABplpapaaaa	ABplpapaaap
ABplpapaap	ABplpapaapa	ABplpapaapp
ABplpapap	ABplpapapa	ABplpapapp
ABplpapapa	ABplpapapaa	ABplpapapap
ABplpapapp	ABplpapappa	ABplpapappp
ABplpapp	ABplpappa	ABplpappp
ABplpappa	ABplpappaa	ABplpappap
ABplpappaa	ABplpappaaa	ABplpappaap
ABplpappp	ABplpapppa	ABplpapppp
ABplpapppa	ABplpapppaa	ABplpapppap
ABplpapppp	ABplpappppa	ABplpappppp
ABplpp	ABplppa	ABplppp
ABplppa	ABplppaa	ABplppap
ABplppaa	ABplppaaa	ABplppaap
ABplppaaa	ABplppaaaa	ABplppaaap
ABplppaaaa	ABplppaaaaa	ABplppaaaap
ABplppaap	ABplppaapa	ABplppaapp
ABplppaapa	ABplppaapaa	ABplppaapap
ABplppaapp	ABplppaappa	ABplppaappp
ABplppap	ABplppapa	ABplppapp
ABplppapa	ABplppapaa	ABplppapap
ABplppapaa	ABplppapaaa	ABplppapaap
ABplppapap	ABplppapapa	ABplppapapp
ABplppapp	ABplppappa	ABplppappp
ABplppappa	ABplppappaa	ABplppappap
ABplppappp	ABplppapppa	ABplppapppp
ABplppp	ABplpppa	ABplpppp
ABplpppa	ABplpppaa	ABplpppap
ABplpppaa	ABplpppaaa	ABplpppaap
ABplpppaaa	ABplpppaaaa	ABplpppaaap
ABplpppaap	ABplpppaapa	ABplpppaapp
ABplpppap	ABplpppapa	ABplpppapp
ABplpppapa	ABplpppapaa	ABplpppapap
ABplpppp	ABplppppa	ABplppppp
ABplppppa	ABplppppaa	ABplppppap
ABplppppaa	ABplppppaaa	ABplppppaap
ABplppppap	ABplppppapa	ABplppppapp
ABplppppp	ABplpppppa	ABplpppppp
ABplpppppa	ABplpppppaa	ABplpppppap
ABplpppppp	ABplppppppa	ABplppppppp
ABpr	ABpra	ABprp
ABpra	ABpraa	ABprap
ABpraa	ABpraaa	ABpraap
ABpraaa	ABpraaaa	ABpraaap
ABpraaaa	ABpraaaaa	ABpraaaap
ABpraaaaa	ABpraaaaaa	ABpraaaaap
ABpraaaaaa	ABpraaaaaaa	ABpraaaaaap
ABpraaaap	ABpraaaapa	ABpraaaapp
ABpraaaapa	ABpraaaapaa	ABpraaaapap
ABpraaaapp	ABpraaaappa	ABpraaaappp
ABpraaap	ABpraaapa	ABpraaapp
ABpraaapa	ABpraaapaa	ABpraaapap
ABpraaapaa	ABpraaapaaa	ABpraaapaap
ABpraaapap	ABpraaapapa	ABpraaapapp
ABpraaapp	ABpraaappa	ABpraaappp
ABpraaappa	ABpraaappaa	ABpraaappap
ABpraaappp	ABpraaapppa	ABpraaapppp
ABpraap	ABpraapa	ABpraapp
ABpraapa	ABpraapaa	ABpraapap
ABpraapaa	ABpraapaaa	ABpraapaap
ABpraapaaa	ABpraapaaaa	ABpraapaaap
ABpraapaap	ABpraapaapa	ABpraapaapp
ABpraapap	ABpraapapa	ABpraapapp
ABpraapapa	ABpraapapaa	ABpraapapap
ABpraapapp	ABpraapappa	ABpraapappp
ABpraapp	ABpraappa	ABpraappp
ABpraappa	ABpraappaa	ABpraappap
ABpraappp	ABpraapppa	ABpraapppp
ABprap	ABprapa	ABprapp
ABprapa	ABprapaa	ABprapap
ABprapaa	ABprapaaa	ABprapaap
ABprapaaa	ABprapaaaa	ABprapaaap
ABprapaaap	ABprapaaapa	ABprapaaapp
ABprapaap	ABprapaapa	ABprapaapp
ABprapap	ABprapapa	ABprapapp
ABprapapa	ABprapapaa	ABprapapap
ABprapapp	ABprapappa	ABprapappp
ABprapp	ABprappa	ABprappp
ABprappa	ABprappaa	ABprappap
ABprappaa	ABprappaaa	ABprappaap
ABprappap	ABprappapa	ABprappapp
ABprappp	ABprapppa	ABprapppp
ABprapppa	ABprapppaa	ABprapppap
ABprapppp	ABprappppa	ABprappppp
ABprp	ABprpa	ABprpp
ABprpa	ABprpaa	ABprpap
ABprpaa	ABprpaaa	ABprpaap
ABprpaaa	ABprpaaaa	ABprpaaap
ABprpaaaa	ABprpaaaaa	ABprpaaaap
ABprpaaaaa	ABprpaaaaaa	ABprpaaaaap
ABprpaaaap	ABprpaaaapa	ABprpaaaapp
ABprpaaap	ABprpaaapa	ABprpaaapp
ABprpaaapa	ABprpaaapaa	ABprpaaapap
ABprpaaapp	ABprpaaappa	ABprpaaappp
ABprpaap	ABprpaapa	ABprpaapp
ABprpaapa	ABprpaapaa	ABprpaapap
ABprpaapaa	ABprpaapaaa	ABprpaapaap
ABprpaapp	ABprpaappa	ABprpaappp
ABprpaappa	ABprpaappaa	ABprpaappap
ABprpaappp	ABprpaapppa	ABprpaapppp
ABprpap	ABprpapa	ABprpapp
ABprpapa	ABprpapaa	ABprpapap
ABprpapaa	ABprpapaaa	ABprpapaap
ABprpapaaa	ABprpapaaaa	ABprpapaaap
ABprpapaap	ABprpapaapa	ABprpapaapp
ABprpapap	ABprpapapa	ABprpapapp
ABprpapapa	ABprpapapaa	ABprpapapap
ABprpapapp	ABprpapappa	ABprpapappp
ABprpapp	ABprpappa	ABprpappp
ABprpappa	ABprpappaa	ABprpappap
ABprpappaa	ABprpappaaa	ABprpappaap
ABprpappap	ABprpappapa	ABprpappapp
ABprpappp	ABprpapppa	ABprpapppp
ABprpapppa	ABprpapppaa	ABprpapppap
ABprpapppp	ABprpappppa	ABprpappppp
ABprpp	ABprppa	ABprppp
ABprppa	ABprppaa	ABprppap
ABprppaa	ABprppaaa	ABprppaap
ABprppaaa	ABprppaaaa	ABprppaaap
ABprppaaaa	ABprppaaaaa	ABprppaaaap
ABprppaap	ABprppaapa	ABprppaapp
ABprppaapa	ABprppaapaa	ABprppaapap
ABprppaapp	ABprppaappa	ABprppaappp
ABprppap	ABprppapa	ABprppapp
ABprppapa	ABprppapaa	ABprppapap
ABprppapaa	ABprppapaaa	ABprppapaap
ABprppapap	ABprppapapa	ABprppapapp
ABprppapp	ABprppappa	ABprppappp
ABprppappa	ABprppappaa	ABprppappap
ABprppp	ABprpppa	ABprpppp
ABprpppa	ABprpppaa	ABprpppap
ABprpppaa	ABprpppaaa	ABprpppaap
ABprpppaaa	ABprpppaaaa	ABprpppaaap
ABprpppaap	ABprpppaapa	ABprpppaapp
ABprpppap	ABprpppapa	ABprpppapp
ABprpppapa	ABprpppapaa	ABprpppapap
ABprpppapp	ABprpppappa	ABprpppappp
ABprpppp	ABprppppa	ABprppppp
ABprppppa	ABprppppaa	ABprppppap
ABprppppaa	ABprppppaaa	ABprppppaap
ABprppppap	ABprppppapa	ABprppppapp
ABprppppp	ABprpppppa	ABprpppppp
ABprpppppa	ABprpppppaa	ABprpppppap
C	Ca	Cp
Ca	Caa	Cap
Caa	Caaa	Caap
Caaa	Caaaa	Caaap
Caaaa	Caaaaa	Caaaap
Caaap	Caaapa	Caaapp
Caap	Caapa	Caapp
Caapa	Caapaa	Caapap
Caapp	Caappa	Caappp
Cap	Capa	Capp
Capa	Capaa	Capap
Capaa	Capaaa	Capaap
Capap	Capapa	Capapp
Capp	Cappa	Cappp
Cappa	Cappaa	Cappap
Cappaa	Cappaaa	Cappaap
Cappp	Capppa	Capppp
Cp	Cpa	Cpp
Cpa	Cpaa	Cpap
Cpaa	Cpaaa	Cpaap
Cpaaa	Cpaaaa	Cpaaap
Cpaap	Cpaapa	Cpaapp
Cpap	Cpapa	Cpapp
Cpapa	Cpapaa	Cpapap
Cpapp	Cpappa	Cpappp
Cpp	Cppa	Cppp
Cppa	Cppaa	Cppap
Cppaa	Cppaaa	Cppaap
Cppaaa	Cppaaaa	Cppaaap
Cppap	Cppapa	Cppapp
Cppapp	Cppappa	Cppappp
Cppp	Cpppa	Cpppp
Cpppa	Cpppaa	Cpppap
Cpppp	Cppppa	Cppppp
D	Da	Dp
Da	Daa	Dap
Daa	Daaa	Daap
Daaa	Daaaa	Daaap
Daap	Daapa	Daapp
Dap	Dapa	Dapp
Dapa	Dapaa	Dapap
Dapp	Dappa	Dappp
Dp	Dpa	Dpp
Dpa	Dpaa	Dpap
Dpaa	Dpaaa	Dpaap
Dpap	Dpapa	Dpapp
Dpp	Dppa	Dppp
Dppa	Dppaa	Dppap
Dppp	Dpppa	Dpppp
E	Ea	Ep
EMS	E	MS
Ea	Eal	Ear
Eal	Eala	Ealp
Eala	Ealaa	Ealap
Ealp	Ealpa	Ealpp
Ear	Eara	Earp
Eara	Earaa	Earap
Earp	Earpa	Earpp
Ep	Epl	Epr
Epl	Epla	Eplp
Epla	Eplaa	Eplap
Eplp	Eplpa	Eplpp
Epr	Epra	Eprp
Epra	Epraa	Eprap
Eprp	Eprpa	Eprpp
MS	MSa	MSp
MSa	MSaa	MSap
MSaa	MSaaa	MSaap
MSaaa	MSaaaa	MSaaap
MSaaaa	MSaaaaa	MSaaaap
MSaaaaa	MSaaaaaa	MSaaaaap
MSaaaaap	MSaaaaapa	MSaaaaapp
MSaaaap	MSaaaapa	MSaaaapp
MSaaaapa	MSaaaapaa	MSaaaapap
MSaaaapp	MSaaaappa	MSaaaappp
MSaaap	MSaaapa	MSaaapp
MSaaapa	MSaaapaa	MSaaapap
MSaaapaa	MSaaapaaa	MSaaapaap
MSaaapap	MSaaapapa	MSaaapapp
MSaaapp	MSaaappa	MSaaappp
MSaap	MSaapa	MSaapp
MSaapa	MSaapaa	MSaapap
MSaapaa	MSaapaaa	MSaapaap
MSaapaaa	MSaapaaaa	MSaapaaap
MSaapaap	MSaapaapa	MSaapaapp
MSaapap	MSaapapa	MSaapapp
MSaapapp	MSaapappa	MSaapappp
MSaapp	MSaappa	MSaappp
MSaappa	MSaappaa	MSaappap
MSaappp	MSaapppa	MSaapppp
MSap	MSapa	MSapp
MSapa	MSapaa	MSapap
MSapaa	MSapaaa	MSapaap
MSapaaa	MSapaaaa	MSapaaap
MSapaap	MSapaapa	MSapaapp
MSapap	MSapapa	MSapapp
MSapapa	MSapapaa	MSapapap
MSapapp	MSapappa	MSapappp
MSapp	MSappa	MSappp
MSappa	MSappaa	MSappap
MSappaa	MSappaaa	MSappaap
MSappap	MSappapa	MSappapp
MSappp	MSapppa	MSapppp
MSapppa	MSapppaa	MSapppap
MSapppp	MSappppa	MSappppp
MSp	MSpa	MSpp
MSpa	MSpaa	MSpap
MSpaa	MSpaaa	MSpaap
MSpaaa	MSpaaaa	MSpaaap
MSpaaaa	MSpaaaaa	MSpaaaap
MSpaaaap	MSpaaaapa	MSpaaaapp
MSpaaap	MSpaaapa	MSpaaapp
MSpaaapa	MSpaaapaa	MSpaaapap
MSpaaapp	MSpaaappa	MSpaaappp
MSpaap	MSpaapa	MSpaapp
MSpaapa	MSpaapaa	MSpaapap
MSpaapaa	MSpaapaaa	MSpaapaap
MSpaapap	MSpaapapa	MSpaapapp
MSpap	MSpapa	MSpapp
MSpapa	MSpapaa	MSpapap
MSpapaa	MSpapaaa	MSpapaap
MSpapaaa	MSpapaaaa	MSpapaaap
MSpapaap	MSpapaapa	MSpapaapp
MSpapap	MSpapapa	MSpapapp
MSpapapp	MSpapappa	MSpapappp
MSpapp	MSpappa	MSpappp
MSpappa	MSpappaa	MSpappap
MSpappp	MSpapppa	MSpapppp
MSpp	MSppa	MSppp
MSppa	MSppaa	MSppap
MSppaa	MSppaaa	MSppaap
MSppaaa	MSppaaaa	MSppaaap
MSppaap	MSppaapa	MSppaapp
MSppap	MSppapa	MSppapp
MSppapa	MSppapaa	MSppapap
MSppapp	MSppappa	MSppappp
MSppp	MSpppa	MSpppp
MSpppa	MSpppaa	MSpppap
MSpppaa	MSpppaaa	MSpppaap
MSpppap	MSpppapa	MSpppapp
MSpppp	MSppppa	MSppppp
MSppppa	MSppppaa	MSppppap
MSppppp	MSpppppa	MSpppppp
P0	AB	P1
P1	EMS	P2
P2	C	P3
P3	D	P4
P4	Z2	Z3
